MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
3676,1,19928348,냉혹자,냉혹자,93,1992,,,,,
3677,1,20081660,마녀의관,마녀의 관,120,2008,20100304,장편,한국,공포(호러),청소년관람불가
3678,11,,캐쉬백,,,,,,,,
3679,0,,레전드(2015),,,,,,,,
3680,1,19578024,영광의길,영광의 길,87,1957,,장편,미국,드라마,
3681,2,,캣츠앤독스,,,,,,,,
3682,6,,더레이디,,,,,,,,
3683,17,,반도,,,,,,,,
3684,0,,브레이브스톰(2017),,,,,,,,
3685,0,,테이블넘버.21,,,,,,,,
3686,166,,티스,,,,,,,,
3687,1,20147718,리큐에게물어라,리큐에게 물어라,123,2013,20151127,장편,일본,드라마,15세이상관람가
3688,0,,북스마트[별도편성][예고편],,,,,,,,
3689,1,20184159,커버처:세이브더퓨처,커버처: 세이브 더 퓨처,90,2017,,장편,미국,미스터리,
3690,1,20188662,인간사냥게임,인간 사냥 게임,80,2013,20180826,장편,미국,액션,청소년관람불가
3691,2,,아르마딜로,,,,,,,,
3692,2,,마르티나,,,,,,,,
3693,1,20018890,리턴투아나콘다,리턴 투 아나콘다,96,2001,,장편,미국,액션,15세관람가
3694,1,20080079,사랑보다황금,사랑보다 황금,112,2008,20080228,장편,미국,멜로/로맨스,12세이상관람가
3695,0,,나의그리스식웨딩(2002),,,,,,,,
3696,1,20153316,블랙가스펠2:소울을찾는여정가운데만난사람들,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,71,2014,20160414,장편,한국,다큐멘터리,전체관람가
3697,5,,맨디,,,,,,,,
3698,1,20156128,로맨틱레시피,로맨틱 레시피,122,2014,,장편,미국,드라마,전체관람가
3699,1,20155345,히트스트로크,히트스트로크,91,2013,20150915,장편,미국,액션,15세이상관람가
3700,1,20135770,레디액션!폭력영화,레디액션! 폭력영화,103,2013,20140605,옴니버스,한국,액션,청소년관람불가
3701,0,,파이(1998),,,,,,,,
3702,3,,저주받은아이,,,,,,,,
3703,21,,호흡,,,,,,,,
3704,0,,악의꽃(2019),,,,,,,,
3705,0,,낯선곳낯선시간,,,,,,,,
3706,1,20031391,투킬어킹,투 킬 어 킹,102,2003,,장편,영국,드라마,
3707,0,,사랑해도괜찮아(2018),,,,,,,,
3710,1381,,형,,,,,,,,
3711,3,,매리,,,,,,,,
3712,1,20168762,마스:화성으로가는길,마스: 화성으로 가는 길,94,2016,20161006,장편,미국,다큐멘터리,12세이상관람가
3713,1,20112807,체인지어드레스,체인지 어드레스,83,2007,20111013,장편,프랑스,코미디,15세이상관람가
3714,,,특별시민[가치봄],,,,,,,,
3715,1,20132584,야쿠자대닌자2,야쿠자 대 닌자 2,71,2012,20130917,장편,일본,액션,15세이상관람가
3716,1,20147407,프로즌그라운드,프로즌 그라운드,90,2012,20140206,장편,미국,스릴러,청소년관람불가
3717,0,,나쁜녀석들(2014),,,,,,,,
3718,17,,히치하이커,,,,,,,,
3719,1,20167905,비정규직특수요원,비정규직 특수요원,117,2016,20170316,장편,한국,코미디,15세이상관람가
3720,2,,백설공주와일곱난쟁이,,,,,,,,
3721,1,20158704,언프렌디드:친구삭제,언프렌디드: 친구삭제,82,2015,20150507,장편,미국,공포(호러),15세이상관람가
3722,1,20170008,귀엽거나미치거나,귀엽거나 미치거나,94,2016,,장편,중국,멜로/로맨스,12세이상관람가
3723,0,,노인과바다(1990),,,,,,,,
3724,3,,북경자전거,,,,,,,,
3725,1,20175082,더와처스:잭팟,더 와처스: 잭 팟,81,2015,20170417,장편,러시아,범죄,15세이상관람가
3726,1,20142963,스타빙게임,스타빙 게임,82,2013,20141120,장편,미국,코미디,15세이상관람가
3727,1,20216566,가화만사경,가화만사경,91,2019,,장편,중국,코미디,15세이상관람가
3728,0,,리틀맨(2006),,,,,,,,
3729,1,20050359,무극,무극,101,2005,20060126,장편,중국,멜로/로맨스,12세관람가
3730,1,19758025,배리린든,배리 린든,183,1975,,장편,영국,드라마,
3731,0,,히스레저의캔디,,,,,,,,
3732,0,,더셰프[다국어자막],,,,,,,,
3733,1,20162147,세상에서고양이가사라진다면,세상에서 고양이가 사라진다면,102,2015,20161109,장편,일본,드라마,12세이상관람가
3734,1,20207412,인류멸망:외계인이주는마지막기회,인류멸망 : 외계인이 주는 마지막 기회,90,2018,,장편,영국,스릴러,
3735,1,20162182,버닝데드:좀비의섬,버닝데드: 좀비의섬,82,2014,20160310,장편,미국,공포(호러),청소년관람불가
3736,3,,휴고,,,,,,,,
3737,0,,키스할까요(1998),,,,,,,,
3738,0,,오리지널씬(2001),,,,,,,,
3739,1,20119138,아파치요새,아파치요새,125,1948,19710501,장편,미국,서부극(웨스턴),
3740,1,20143901,"파리오페라발레의별,아녜스","파리오페라 발레의 별, 아녜스",96,2014,20141210,장편,프랑스,다큐멘터리,전체관람가
3741,1,19910031,끼있는여자는밤이슬을좋아한다,끼있는 여자는 밤이슬을 좋아한다,113,1991,19910420,장편,한국,성인물(에로),연소자관람불가
3742,0,,적벽대전1부:거대한전쟁의시작,,,,,,,,
3743,1,20144121,폭스캐처,폭스캐처,134,2014,20150205,장편,미국,드라마,청소년관람불가
3744,1,20202394,시간의끝에서널기다려,시간의 끝에서 널 기다려,114,2019,20210217,장편,홍콩,드라마,12세이상관람가
3745,1,20161543,로봇오버로드,로봇 오버로드,90,2014,20170119,장편,영국,SF,12세이상관람가
3746,0,,세인트(1997),,,,,,,,
3747,1,20184733,마린:배틀엔젤,마린: 배틀 엔젤,120,2016,20181206,장편,미국,액션,청소년관람불가
3748,1,20143344,눈의여왕2:트롤의마법거울,눈의 여왕 2: 트롤의 마법거울,78,2014,20141224,장편,러시아,애니메이션,전체관람가
3749,0,,카르멘(1984),,,,,,,,
3750,1,20181167,속물들,속물들,106,2019,20191212,장편,한국,드라마,15세이상관람가
3751,1,20200150,3AMPart1,3AM part 1,95,2012,,장편,태국,공포(호러),
3752,1,19980060,성룡의CIA,성룡의 CIA,120,1997,19980124,장편,홍콩,액션,15세 미만인 자는 관람할 수 없는 등급 
3753,0,,브레이킹더웨이브(1996),,,,,,,,
3754,1,20190761,풍운제일도,풍운제일도,92,2017,,장편,중국,액션,15세이상관람가
3755,0,,엑스파일:나는믿고싶다(2008),,,,,,,,
3756,1,20183138,디스크레이지하트,디스 크레이지 하트,106,2017,20190110,장편,독일,코미디,12세이상관람가
3757,3,,플레어,,,,,,,,
3758,0,,데드스노우2(2014),,,,,,,,
3759,0,,슈터:라스트미션,,,,,,,,
3760,1,19908174,중년의위기,중년의 위기,106,1990,,,,,
3761,1,20125686,콘돌은날아간다,콘돌은 날아간다,102,2012,20130530,장편,한국,드라마,청소년관람불가
3762,2,,비념,,,,,,,,
3763,0,,육체의증거(1993),,,,,,,,
3764,1,20158705,서울야행,서울야행,116,2015,20160505,장편,한국,코미디,15세이상관람가
3765,1,20183292,메나쉬,메나쉬,82,2017,,장편,미국,드라마,12세이상관람가
3766,12,,영주,,,,,,,,
3767,4,,회사원,,,,,,,,
3768,1,2022A249,다크캐년,다크 캐년,,2012,,온라인전용,미국,드라마,
3769,0,,쏘우:데스머신(2009),,,,,,,,
3770,0,,좋은친구들(1990),,,,,,,,
3771,0,,다운힐(2020),,,,,,,,
3772,1,19910270,새엄마는외계인,새엄마는 외계인,108,1988,19910815,장편,미국,코미디,고등학생이상관람가
3773,1,20172641,마리안느와마가렛,마리안느와 마가렛,77,2017,20170420,장편,한국,다큐멘터리,전체관람가
3774,0,,기생충:흑백판,,,,,,,,
